alpha, cl
-5.934142114384752, -0.4018433179723506
-4.048526863084923, -0.18617511520737384
-3.4384748700173304, -0.10322580645161317
-2.6620450606585813, -0.014746543778802135
-1.164644714038129, 0.15668202764976957
-0.05545927209705681, 0.2838709677419353
1.2201039861351823, 0.42211981566820267
1.7746967071057185, 0.48294930875576036
2.828422876949741, 0.6101382488479266
3.60485268630849, 0.6930875576036868
4.6031195840554595, 0.8036866359447006
5.656845753899482, 0.9087557603686638
6.710571923743501, 1.0193548387096778
7.487001733102257, 1.102304147465438
8.374350086655117, 1.1963133640553
9.372616984402082, 1.301382488479263
10.481802426343155, 1.4064516129032265
11.369150779896014, 1.4783410138248856
12.034662045060667, 1.539170506912443
13.3102253032929, 1.6497695852534568
14.253032928942812, 1.7161290322580651
