X_upper,Y_upper,X_lower,Y_lower
,,0.6,-3.89
0.65,3.84,0.65,-3.31
0.675,3.69,0.675,-2.87
0.705,3.52,0.675,-2.6
0.73,3.325,0.675,-2.0
0.755,3.125,0.6785,-1.0
0.775,2.96,0.69,0.23
0.79,2.813,0.7070000000000001,1.2
0.8025,2.705,0.73,1.95
0.813,2.605,0.755,2.35
0.821,2.53,0.775,2.49
0.825,2.49,0.79,2.52
,80.25,0.0252,
,81.3,0.025,
,82.1,0.0245,
,82.5,0.0241,
