delta,chord_extension
0.07246376811594146, 0.3846153846153726
2.1014492753623184, 1.7307692307692264
4.492753623188404, 3.653846153846132
6.44927536231884, 5.384615384615358
8.55072463768116, 7.307692307692292
10.724637681159418, 9.230769230769212
12.826086956521738, 10.961538461538453
14.63768115942029, 12.69230769230768
17.028985507246375, 15.19230769230768
18.985507246376812, 17.307692307692307
21.521739130434785, 19.615384615384613
23.623188405797105, 20.961538461538453
26.08695652173913, 22.499999999999986
28.695652173913043, 23.84615384615384
32.173913043478265, 25.576923076923066
34.34782608695653, 26.92307692307692
36.66666666666667, 28.17307692307692
39.63768115942028, 29.51923076923076
43.18840579710145, 30.57692307692308
46.66666666666667, 31.15384615384616
50.07246376811595, 31.538461538461533

